,Title,Image,Price,Description
19,Trầm ám mắt tím đậm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/am-mat-tim/anh-nho-hoa-mau-dai-loan-sai-hoa.jpg,"Giá: 
                            										350.000 VNĐ										/Chậu	

                                                		","Cánh rất sạch chỉ dính chút ít vệt màu rất khó thấy, cánh bầu đẹp, đặc biệt mắt tím đậm. Có 2 loại đã xổ hoa và chưa xổ hoa, loại trầm này rất sai hoa."
20,Trầm tím lai Hawaii tím,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tram-lai-hawaii/anh-nho-hinh-hoa-tham-khao.jpg,"Giá: 
                            										220.000 VNĐ										/Giò	

                                                		","Trầm tím có phom hoa đẹp hương thơm nồng nàn, trong khi đó Hawaii cũng rất thơm bông hơi rủ nhưng lại to. Không biết 2 loại này sẽ ra hương như nào? Các bác có hóng cùng em không?"
21,Hawai lá biên,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/hawai-la-bien-1.jpg,"Giá: 
                            										240.000 VNĐ										/Chậu	

                                                		","Giả hạc hawai loại lá biên, hoa màu tím đậm rất đẹp. Cây đang dài khoảng 35 cm - 40cm. Biên cả viền lá nhé, chắc chắn là nổi bật. "
22,Trầm lai vôi nhật,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tramxvoinhat/tram-lai-voi-nhat-1-1.jpg,"Giá: 
                            										230.000 VNĐ										/bảng	

                                                		",Hàng lai nhưng có mặt bông rồi ah. Hoa thơm rất sai hoa và cực ấn tượng. Cây ghép bảng gỗ rất khỏe.
23,Chớp mỹ gieo hạt,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/chop/chop-my-gieo-het-2-1.jpg,"Giá: 
                            										450.000 VNĐ										/Cây	

                                                		","2 bông chớp đẹp lai, hoa sổ xố, hàng gieo hạt đài loan. Cây đang phát triển rất đẹp, đủ tuổi hoa mùa tới. Hoa xổ nhưng chắc chắn ra chớp, chỉ là không chắc chắn sắc độ của chớp."
24,Super thrive thuốc tưới lan,https://hoalanhuyanh.com/userfiles/image/vat-tu/thuoc/thuoc-cho-lan-super-thrive-1-1.jpg,"Giá: 
                            										250.000 VNĐ										/100ml	

                                                		","Super thrive  Loại thuốc dành cho lan hiệu quả không thể phủ nhận, hàng xách tay mỹ. Cực kỳ đậm đặc gấp 3.4 lần so với các loại thuốc khác"
25,Trầm đỏ lai trầm 6 mắt,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/6mat-do/tram-6mat-do-1-1.jpg,"Giá: 
                            										230.000 VNĐ										/cây	

                                                		","Được lai tạo từ 2 bông trầm tuyệt đẹp là trầm đỏ bông đậm và trầm 6 mắt độc đáo. Cây khỏe, mập ra hoa vào năm tới."
26,Đai châu cây đôi to,https://hoalanhuyanh.com/userfiles/image/gio-lan/dai-chau/trang/chau-trang-cay-doi-1-1.jpg,"Giá: 
                            										1.100.000 VNĐ										/Chậu đôi	

                                                		","Bán chậu đai châu trắng lá đẹp, có video quay chi tiết chậu cây. Gồm 2 cây 5 cặp lá và 9 cặp lá, đang nụ "
27,Giả hạc châu như,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/chau-nhu/gia-hac-chau-nhu-gieo-hat-3-1.jpg,"Giá: 
                            										160.000 VNĐ										/Chậu	

                                                		","Không phải chỉ có một mặt bông duy nhất, đã có từ rất lâu, đến giờ vẫn có những bông châu như mới, là một trong số ít giả hạc lai đẹp của việt nam được đài loan mua lại để nhân giống"
28,Phi điệp 6 mắt Thái Bình,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/pd-6-mat-thai-binh/phi-diep-6-mat-thai-binh-hinh-hoa-anh-nho.jpg,"Giá: 
                            										1.400.000 VNĐ										/kei 5cm	

                                                		","Bán kei phi điệp 6 mắt Thái Bình, mặt hoa đẹp, đang bắt đầu ra rễ. Năm nay chỉ nhân được ít kei thôi, bác nào yêu liên hệ trực tiếp"
29,"Đai châu trụ gỗ, đã thuần rất lâu",https://hoalanhuyanh.com/userfiles/image/gio-lan/dai-chau/tru-go/anh-nho-dai-chau-ghep-tru-go-cay-to-dep.jpg,"Giá: 
                            										2.500.000 VNĐ										/Giò	

                                                		","Mỗi trụ có 9,10 ngọn hàng rừng nên chỉ có 2 màu đỏ trắng và tím trắng, đã ra hoa các mùa trước. Cây to, lá dầy, dài đẹp. Bộ rễ rất phát triển"
30,Ngọc điểm hoa sổ xố,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/dai-chau-thai/anh-nho-dai-chau-hoa-xo-4.jpg,"Giá: 
                            										150.000 VNĐ										/Cây	

                                                		","Lan đai châu hay lan Ngọc điểm hoa sổ xố nhiều màu đẹp, cây đơn trồng chậu nhựa rất đẹp. Cỡ cây trung có thể hoa tết (một số cây đã nứt vòi hoa) hàng thái."
31,Trầm cửu long,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/tram-cuu-long-1-1.jpg,"Giá: 
                            										450.000 VNĐ										/Cây	

                                                		","Trầm cửu long hoa đẹp hương thơm, cánh tím họng đậm, bông to. Thân mập ú, đang phát triển mạnh, cây đã trồng thuần nhiều năm tại vườn."
32,Giả hạc Hawaii lai phi điệp,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/gia-hac-lai/hawaii-phi-diep-tim-1-1.jpg,"Giá: 
                            										240.000 VNĐ										/giò	

                                                		","Thân dài, to phát triển nhanh, hoa to là những đặc điểm của cặp lai Hawaii và phi điệp này. Cây ghép gỗ đang phát triển rất đẹp"
33,Hải yến lai vanda,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/haiyen-vanda/hai-en-lai-vanda-2-1.jpg,"Giá: 
                            										180.000 VNĐ										/cây	

                                                		","Hải yến lai vanda cho ra màu hoa đẹp, hoa 2 đến 3 lần 1 năm. Cây rất dễ trồng đã trưởng thành hầu hết đang nụ. Loại phong lan này phù hợp để trang trí nhà, sân vườn bởi chúng có màu sắc rực rỡ, dễ ra hoa, chăm sóc dễ dàng. "
34,Sumo  dưỡng béo thân cây lan,https://hoalanhuyanh.com/userfiles/image/vat-tu/thuoc/sumo/anh-nho-sumo-6-30-30.jpg,"Giá: 
                            										90.000 VNĐ										/chai 100 gam	

                                                		","Trước khi cắt nước  thân cây cần khỏe mạnh, thân béo (to) để dự trữ dinh dưỡng trong thời gian cắt nước, SUMO thuốc dưỡng lan 6-30-30 sẽ là lựa chọn hiệu quả."
35,Phi điệp ám phú thọ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/am-phu-tho/anh-nho-hoa-am-phu-tho.jpg,"Giá: 
                            										1.500.000 VNĐ										/Cây	

                                                		","Bán phi điệp cánh ám phú thọ, mặt hoa như hình, bán đứt gốc [cả chậu] đang có mầm non, cây đẹp, khỏe, ngọn dài. Chắc chắn năm sau sẽ sai hoa hơn."
36,Chậu đai châu thuần 1 năm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/dai-chau-thai/dai-chau-thuan-1-nam-1.jpg,"Giá: 
                            										250.000 VNĐ										/Cây	

                                                		","Cây thuần 1 năm, nhận đặt lan đai châu đúng quy cách theo yêu cầu khách hàng"
37,"Ngọc điểm vàng, hồng đốm",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/ngoc-diem-vang-hong-dom-1-1.jpg,"Giá: 
                            										200.000 VNĐ										/Cây	

                                                		",
38,Đai châu 2 ngọn loại nhỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/dai-chau-2-ngo-nho-1.png,"Giá: 
                            										160.000 VNĐ										/Giò	

                                                		",Cây đã được ghép gỗ các bác chỉ việc mang về chăm nhé. Cây nhỏ xinh xắn giá cũng rất đẹp cho loại 2 ngọn
39,Tam bảo sắc vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/giang-huong/tam-bao-sac/tam-bao-sac-hoa-vang-2-1.jpg,"Giá: 
                            										260.000 VNĐ										/Cây	

                                                		","Tam bảo sắc vàng là loại lan rừng đột biến rất đẹp, thơm tuy nhiên giá rất cao. Vì thế hàng thái cây mô đang là lựa chọn hàng đầu của các bác muốn sưu tầm dòng giáng hương đẹp này"
40,Jacky xanh lá trơn,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/lan-hai-jacki-xanh-la-tron-1.jpg,"Giá: 
                            										300.000 VNĐ										/Cây	

                                                		","Cây to, đẹp, đặc biệt với lá trơn. Hoa màu xanh được đánh giá là một trong các loại lan hài đẹp và quý hiếm của việt nam"
41,Chậu hawaii trắng,https://hoalanhuyanh.com/userfiles/image/gio-lan/hawaii/gia-hac-hawaii-trang-1-1.jpg,"Giá: 
                            										800.000 VNĐ										/Chậu	

                                                		","Chậu có 5 ngọn đang phát triển mạnh, trồng trong chậu gốm. Cây rất đẹp và khỏe"
42,Vôi lùn,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/voi/hoang-thao-voi-lun-1-1.jpg,"Giá: 
                            										150.000 VNĐ										/Chậu	

                                                		","Hoàng thảo vôi lùn cây đẹp, đang trồng chậu, đốt ngắn, thâm múp míp. Cây năm 2, hoa cũng như vôi rừng thôi ah."
43,Dendro chớp cây nhỏ xinh,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vanda-dendro/dendro-chop-1-1.jpg,"Giá: 
                            										80.000 VNĐ										/bảng	

                                                		","Dendro chớp cây nhỏ  dáng xinh, đang bám gỗ. Cây dòng mini nhưng rất dễ trồng, hoa đẹp và lạ, khác biệt, có hoa vào cuối mùa hè. Hoa như hình."
44,Kiếm xích ngọc hoa trắng,https://hoalanhuyanh.com/userfiles/image/gio-lan/kiem/kiem-xich-ngoc-trang-3-1.jpg,"Giá: 
                            										350.000 VNĐ										/khóm	

                                                		","Bán chậu xích ngọn hoa trắng tuyệt đẹp, em bán cả chậu nên giá rất rẻ, mời các bác yêu dòng lan này nhé."
45,Thiên nga xanh,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/thien-nga-xanh-1-1.jpg,"Giá: 
                            										250.000 VNĐ										/Chậu	

                                                		","Bán cây thiên nga đang rất đẹp, hoa xanh. Đã được trồng thuần tại vườn, hoa có hương thơm dịu. Giá bán rẻ cho dòng thiên nga đã được trồng thuần. Đang trồng trong giá thể mùn dừa, phát triển rất tốt.Các bác chú ý : Giá lan thiên nga ngoài kích thước, màu sắc, còn phụ thuộc vào thời gian trồng thuần tại vườn nhé. Ví dụ cùng kích thước nhưng cây mới nhập sẽ có giá rẻ hơn cây trồng thuần."
46,Trầm tím ghép bảng gỗ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/tram-tim-3-1.jpg,"Giá: 
                            										180.000 VNĐ										/giò	

                                                		","Lan trầm tím - Thân mập mạp đã thuần trên 2 năm, rễ bám chắc bảng gỗ, hoa rất thơm, mùa hoa tháng 2 , 3 âm lịch. Đây là loại lan rất thơm, có hoa màu tím trong tự nhiên trầm tím chỉ có ở Lào, nhưng rất phù hợp khi được trồng tại Việt nam. Trầm tím thực sự không thể thiếu trong mỗi vườn lan. Giá bán lan trầm tím tùy thuộc vào kích thước từng giò."
47,Sóc trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/soc-trang-1-1.jpg,"Giá: 
                            										150.000 VNĐ										/cây	

                                                		","Cây trồng chậu nhựa đẹp, rễ đã bám chặt vào chậu và phát triển khỏe mạnh. Hoa dài, trắng muốt hoặc tím, rất đẹp. một chậu có 1 ngọn  "
48,Kiếm đỏ thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/kiem/kiem-do-thai-3-1.jpg,"Giá: 
                            										140.000 VNĐ										/Chậu	

                                                		","Chậu kiếm đỏ đẹp hàng thái, giá rất hấp dẫn, cây cực khỏe bám đâu cũng sống. Vòi hoa dài, thơm. Giá năm này rất rẻ ví bán theo cốc có nhiều thân."
49,Trầm blue,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/blue/tram-blue-2-1.jpg,"Giá: 
                            										90.000 VNĐ										/cốc	

                                                		","Bông hoa mang dáng của trầm xưa màu sắc tinh tế và lạ , đặc biệt hoa rất thơm."
50,Giả hạc trắng Tuyết Ngọc,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/trang-tuyet-ngoc-1-1.jpg,"Giá: 
                            										2.500.000 VNĐ										/kei	

                                                		","Giả hạc 5 cánh trắng tuyết ngọc hàng rừng. Cánh trắng họng tím, bán kei đã phun rễ, đang trồng cốc rêu giữ ẩm"
51,Trầm đỏ lai trầm rhodo,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/lai/do-rhodo/tram-do-lai-rhodo-3-1.jpg,"Giá: 
                            										320.000 VNĐ										/chậu	

                                                		","Đây là giống trầm lai mới của đài chưa cho ra mặt bông chính thức, tuy nhiên được lai từ trầm đỏ với trầm rhodo bông đỏ tím, nên xác suất ra bông đỏ tươi rất cao."
52,Phi điệp tím kiến,https://hoalanhuyanh.com/userfiles/image/gio-lan/phi-diep-tim/bang-kien/phi-diep-tim-kien-1-1.jpg,"Giá: 
                            										300.000 VNĐ										/bảng	

                                                		","Cây đã ghép được gần năm, hàng phi điệp kiến gia lai, khả năng sẽ ra nhiều mặt bông. Cây đang được ghép bảng dớn phát triển khá tốt. "
54,Lan brass,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/brass/lan-brass-doi-mau-hinh-nho.jpg,"Giá: 
                            										150.000 VNĐ										/chậu	

                                                		","Bạn muốn có vườn lan hoa quanh năm, không thể thiếu lan brass được đâu. Loại hoa lan này rất dễ tính, phát triển nhanh, dễ có hoa, hoa lạ và thơm."
53,Phi điệp ám hòa bình,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/am-hoa-binh/anh-nho-hinh-hoa-phi-diep-am-hoa-binh.jpg,"Giá: 
                            										500.000 VNĐ										/kei	

                                                		","Phi điệp hòa bình vốn đã nổi tiếng với các bông hoa cánh căng, to, đẹp và hiếm. Bông bình thường đã vậy còn 5ct hoặc cánh ám lại càng hiếm và đẹp hơn nhiều"
56,Hoàng thảo lông trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hong-thao-long-trang-1-1.jpg,"Giá: 
                            										160.000 VNĐ										/giò	

                                                		",Các giò hoàng thảo lông trắng được trồng thuần tại vườn nên các bác yên tâm chất lượng. Cách chăm sóc cũng rất đơn giản như sau
55,Cửu bảo tiên trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/giang-huong/cuu-trang/anh-nho-cuu-bao-tien-hoa-trang.jpg,"Giá: 
                            										400.000 VNĐ										/Cây	

                                                		","Đây là loại cửu bảo tiên đột biến hoa trắng được thái nhân giống. Hoa sở hữu vẻ đẹp tinh khôi, hương cực thơm và rất hiếm có"
57,Trầm semi x blue,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/tram-lai-phi-diep/tram-semixblue-1-1.jpg,"Giá: 
                            										180.000 VNĐ										/Giò	

                                                		","Bán trầm semi x blue, hoa như hình. Cây đang được trồng trong chậu nhựa, thân to mập mạp, phát triển khỏe mạnh"
58,Thiên nga vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/thien-nga-vang-1-1.jpg,"Giá: 
                            										250.000 VNĐ										/Chậu	

                                                		","Thiên nga hoa vàng rất đẹp, ra hoa nhiều lần trong năm, rất dễ chăm sóc và ra hoa. Cây được trồng thuần đã lâu tại vườn. [ĐANG NỤ] "
59,Ngọc điểm lai bankok sunset (cula bankok),https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/lai-bankok/ngoc-diem-lai-1-2.jpg,"Giá: 
                            										300.000 VNĐ										/Chậu	

                                                		","Bán lan ngọc điểm lai bankok sunset (cula bankok). Hàng thuần 1,5 năm tuổi. Giá bán 300k/chậu. Mặt hoa rất đẹp"
60,Ngọc trai đen Black pear,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/thien-nga/thien-nga-den-hinh-hoa-1-1.jpg,"Giá: 
                            										400.000 VNĐ										/Chậu	

                                                		","Ngọc trai đen Black pear, hay được gọi nhiều với tên phong lan thiên nga hoa màu đen huyền bí và rất đặc biệt,hoa buông thong, cánh hoa cứng. Có hương thơm dịu, ngọt được đánh giá là mặt hoa đẹp và độc đáo, chúng cũng rất nổi bật so với các loại hoa lan khác bởi màu đen tuyền mà ít loại lan nào có được"
61,Ngọc điểm Thái màu hồng cánh sen,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/thai-mau-canh-sen/ngoc-diem-thai-bam-lua-canh-sen-3-1.jpg,"Giá: 
                            										320.000 VNĐ										/Cây	

                                                		","Đai châu - Ngọc điểm Thái bám gỗ, đang phát triển tốt. Màu hồng cánh sen, cánh sen catoon, như hình thực tế dưới đây. Bán tại Hà Nội, chuyển hàng toàn quốc.."
62,Hạc vỹ bám gỗ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hac-vy/hac-vy-400k-1-2.jpg,"Giá: 
                            Liên hệ                    		","Giò lan hạc vỹ bám gỗ, hàng thuần,đang ra nhiều rễ và phát triển mầm mon rất nhiều. Hạc vỹ loại lan dễ trồng, dễ ra hoa."
63,Hồng ngọc B,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/gia-hac/hong-ngoc-b-1-1.jpg,"Giá: 
                            										260.000 VNĐ										/ngọn	

                                                		","Bán hồng ngọc B, 1 chậu 1 ngọn dài khoảng 20cm, bảo hành mặt hoa như hình. Cây phát triển khỏe mạnh, đã trồng một năm tại vườn"
64,Dendro hoa tết,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vanda-dendro/dendro-1-1.jpg,"Giá: 
                            										150.000 VNĐ										/Chậu	

                                                		","Em bắt đầu bán dendro hoa tết, cây to đùng chăm sóc rất dễ dàng, nên chúng là một trong các loại lan được trồng phổ biến nhất"
65,Hồng thiên cung thuần,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hong-thien-cung-4-1.jpg,"Giá: 
                            										40.000 VNĐ										/ngọn	

                                                		",Hồng thiên cung thuần tại hà nội rất khỏe . cây đang phát triển giò 5 đến 10 ngọn giá 40k ngọn
66,"Lan đai châu thái, 4 đến 6 lá",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/dai-chau-thai/dai-chau-160k-1.jpg,"Giá: 
                            										160.000 VNĐ										/Cây	

                                                		","Lan đai châu thái đã ghép gỗ, cây đẹp, giá bán 160k/ cây. Bán tại Hà nội, có từ 4 đến 6 lá."
67,Hoa lan trầm trắng lai vôi,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/lai/tram-trang-lai-voi-hoa-1-1.jpg,"Giá: 
                            										200.000 VNĐ										/cốc	

                                                		",
68,Lan cattleya bông cam,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/cat-lan-bong-cam-2-1.jpg,"Giá: 
                            										250.000 VNĐ										/Chậu	

                                                		","Bán chậu lan cattleya bông cam, hoa to, mặt hoa và cây bán thực tế như hình.,Cây khỏe mạnh, lá dầy cứng, màu hoa rất đậm"
69,Đai châu bò sữa,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/xuan/dai-chau-bo-sua-1-1.jpg,"Giá: 
                            										150.000 VNĐ										/Cây	

                                                		","Lan đai châu bò sữa  - Màu sắc khác biệt, lạ mắt, hoa xuân, điểm nhấn tuyệt vời cho vườn lan nhà bạn. "
